ort,zusatz,bundesland,plz,lat,lon
Altstrimmig,,Rheinland-Pfalz,56858,50.08943,7.2844
Altthymen,,Brandenburg,16798,53.18071,13.14428
Alttrebbin,,Brandenburg,16259,52.79807,14.01577
Altusried,,Bayern,87452,47.79658,10.18757
Altwarp,,Mecklenburg-Vorpommern,17375,53.71537,14.15981
Altweidelbach,,Rheinland-Pfalz,55469,49.98951,7.54625
Altwigshagen,,Mecklenburg-Vorpommern,17379,53.6605,13.8872
Altwittenbek,,Schleswig-Holstein,24214,54.4108,9.9788
Altwustrow,,Brandenburg,16259,52.79807,14.01577
Altötting,,Bayern,84503,48.22124,12.7452
Alveslohe,,Schleswig-Holstein,25486,53.78971,9.91477
Alzenau,Unterfr,Bayern,63755,50.08661,9.07196
Alzey,,Rheinland-Pfalz,55232,49.74599,8.09975
Am Jägerberg,,Niedersachsen,21227,53.33622,9.9735
Am Quicken,,Bayern,82493,47.48608,11.21365
Am Rainberge,,Hessen,34497,51.27462,8.85792
Am Römerhof,,Hessen,61200,50.41697,8.83006
Am Römerschacht,,Hessen,61200,50.41697,8.83006
Am Rönndeich,,Niedersachsen,21706,53.7068,9.3786
Am Rüdesheimer Hafen,Rheingau,Hessen,65385,50.02822,7.89432
Am Sandkopf,Gem Fuldatal,Hessen,34127,51.33304,9.49096
Am Sandweiher,,Rheinland-Pfalz,66849,49.3982,7.56026
Am Springberg,,Rheinland-Pfalz,76889,49.08987,7.96204
Am Tekenberge,,Niedersachsen,38350,52.24301,11.00172
Amalienfelde,,Brandenburg,16766,52.78381,13.008
Amberg,Oberpf,Bayern,92224,49.44217,11.83777
Amberg,b Buchloe,Bayern,86854,48.06131,10.68194
Amelinghausen,,Niedersachsen,21385,53.12502,10.21239
Amerang,,Bayern,83123,48.00259,12.30569
Amerdingen,,Bayern,86735,48.75783,10.46253
Amesdorf,,Sachsen-Anhalt,39439,51.79753,11.61268
Ammeldingen,an der Our,Rheinland-Pfalz,54675,49.90874,6.31392
Ammeldingen,bei Neuerburg,Rheinland-Pfalz,54673,49.99551,6.23244
Ammelstädt,,Thüringen,07407,50.73282,11.32871
Ammerbuch,,Baden-Württemberg,72119,48.5605,8.97229
Ammern,,Thüringen,99974,51.23744,10.45112
Ammerndorf,,Bayern,90614,49.42109,10.85291
Ammersbek,,Schleswig-Holstein,22949,53.68885,10.19521
Ammerthal,Oberpf,Bayern,92260,49.44064,11.76253
Amorbach,,Bayern,63916,49.63791,9.19741
Ampfing,,Bayern,84539,48.25821,12.41169
Ampfurth,,Sachsen-Anhalt,39387,52.01819,11.21961
Amsdorf,,Sachsen-Anhalt,06317,51.46083,11.67133
Amselgraben,b Waging a See,Bayern,83329,47.94403,12.69994
Amstetten,Württ,Baden-Württemberg,73340,48.57614,9.87419
Amtsberg,,Sachsen,09439,50.73423,13.01087
Amtzell,,Baden-Württemberg,88279,47.71501,9.75401
Amöneburg,,Hessen,35287,50.79774,8.92186
An der Chaussee,"b Friedrichstadt, Eider",Schleswig-Holstein,25840,54.38985,9.06735
An der Rhumequelle,b Gieboldehausen,Niedersachsen,37434,51.60763,10.22025
Andechs,,Bayern,82346,47.96685,11.18458
Andenhausen,,Thüringen,36452,50.66473,10.14051
